,School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2018-19,Urban-centric Locale [Public School] 2017-18,Urban-centric Locale [Public School] 2016-17,Urban-centric Locale [Public School] 2015-16,Urban-centric Locale [Public School] 2014-15,"Total Students, All Grades (Excludes AE) [Public School] 2018-19","Total Students, All Grades (Excludes AE) [Public School] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2016-17","Total Students, All Grades (Excludes AE) [Public School] 2015-16","Total Students, All Grades (Excludes AE) [Public School] 2014-15",Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Direct Certification [Public School] 2018-19,Direct Certification [Public School] 2017-18,Direct Certification [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15,Grades 1-8 Students [Public School] 2018-19,Grades 1-8 Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2016-17,Grades 1-8 Students [Public School] 2015-16,Grades 1-8 Students [Public School] 2014-15,Grades 9-12 Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2016-17,Grades 9-12 Students [Public School] 2015-16,Grades 9-12 Students [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2018-19,Title I School Status [Public School] 2017-18,Title I School Status [Public School] 2016-17,Title I School Status [Public School] 2015-16,Title I School Status [Public School] 2014-15,National School Lunch Program [Public School] 2018-19,National School Lunch Program [Public School] 2017-18,National School Lunch Program [Public School] 2016-17,National School Lunch Program [Public School] 2015-16,National School Lunch Program [Public School] 2014-15,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2014-15,LEAID
2295,VALDOSTA MIDDLE SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,1138,1063.0,940.0,904.0,896,1138,1063,940,901,896,469,425.0,425,0,0,0,0,0,1138,1063.0,940,901,896,1128,1063.0,940.0,904.0,896,,,,,,130531000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Valdosta Middle School,Lowndes County,13185.0,31602.0,Valdosta,38,25,1138,896.0,1,1,283,262,699,553,90,24,25,23,2,8,1305310.0
2296,VALLEY POINT ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,511,502.0,535.0,548.0,541,368,348,401,392,410,79,80.0,183,36,61,46,61,67,404,409.0,447,453,477,404,399.0,433.0,441.0,427,,,,,,130570000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Valley Point Elementary School,Whitfield County,13313.0,30721.0,Dalton,11,20,511,541.0,2,1,336,341,2,2,159,171,1,4,0,2,1305700.0
2297,VALLEY POINT MIDDLE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,451,435.0,446.0,441.0,446,297,284,308,296,293,56,58.0,122,57,61,47,60,61,354,345.0,355,356,354,441,435.0,446.0,441.0,446,,,,,,130570000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Valley Point Middle School,Whitfield County,13313.0,30721.0,Dalton,13,14,451,446.0,1,0,192,221,1,7,239,195,2,8,3,1,1305700.0
2298,VAN WERT ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,32-Town: Distant,762,793.0,806.0,909.0,804,651,677,670,756,668,576,380.0,505,0,0,0,0,0,651,677.0,670,756,668,576,593.0,601.0,624.0,574,,,,,,130420000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Van Wert Elementary School,Polk County,13233.0,30153.0,Rockmart,85,67,762,804.0,0,0,434,500,201,196,37,34,4,7,1,0,1304200.0
2299,VANDERLYN ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,668,705.0,706.0,713.0,713,13,20,9,12,6,5,9.0,6,8,5,1,0,3,21,25.0,10,12,9,535,576.0,567.0,575.0,587,,,,,,130174000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Vanderlyn Elementary School,DeKalb County,13089.0,30338.0,Dunwoody,15,17,668,713.0,1,1,308,396,29,22,41,25,271,250,3,2,1301740.0
2300,VARNELL ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,413,427.0,414.0,440.0,485,231,252,235,248,272,36,51.0,107,51,52,41,44,45,282,304.0,276,292,317,336,351.0,349.0,378.0,404,,,,,,130570000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,Varnell Elementary School,Whitfield County,13313.0,30721.0,Dalton,15,22,413,485.0,0,0,236,277,2,13,159,165,1,6,0,2,1305700.0
2301,VARNER ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,796,768.0,707.0,695.0,685,371,372,335,316,316,175,158.0,176,84,74,71,62,56,455,446.0,406,378,372,638,627.0,591.0,573.0,561,,,,,,130129000000.0,2-Title I targeted assistance school,2-Title I targeted assistance school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Varner Elementary School,Cobb County,13067.0,30127.0,Powder Springs,28,30,796,685.0,2,0,136,184,489,346,127,100,14,22,0,3,1301290.0
2302,VAUGHAN ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,759,767.0,696.0,665.0,661,91,97,71,88,74,48,35.0,32,36,30,21,12,23,127,127.0,92,100,97,629,649.0,585.0,557.0,533,,,,,,130129000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Vaughan Elementary School,Cobb County,13067.0,30127.0,Powder Springs,35,33,759,661.0,0,0,498,502,139,82,59,31,27,13,1,0,1301290.0
2303,VENETIAN HILLS ELEMENTARY SCHOOL,Georgia,,,,11-City: Large,11-City: Large,,,,338.0,360,,,,335,360,,,,,,,0,0,,,,335,360,,,,266.0,275,,,,,,130012000000.0,,,,5-Title I schoolwide school,5-Title I schoolwide school,,,,Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),,,,,,,,,1,,360.0,,0,,0,,355,,4,,0,,0,1300120.0
2304,VETERANS ELEMENTARY SCHOOL,GEORGIA,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,,,791,850.0,811.0,,,783,843,803,,,475,573.0,470,0,0,0,,,783,843.0,803,,,621,666.0,655.0,,,,,,,,130042000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,,,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),,,5th Grade,Prekindergarten,Veterans Elementary School,Bibb County,13021.0,31204.0,Macon,12,,791,,0,,23,,667,,81,,4,,4,,1300420.0
2305,VETERANS HIGH SCHOOL,Georgia,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,1659,1651.0,1600.0,1506.0,1474,334,320,328,284,275,171,169.0,201,115,108,82,93,99,449,428.0,410,377,374,,,,,,1659,1651.0,1600.0,1506.0,1474,130288000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Veterans High School,Houston County,13153.0,31047.0,Kathleen,86,67,1659,1474.0,4,1,992,945,434,349,115,81,26,29,2,2,1302880.0
2306,VETERANS MEMORIAL MIDDLE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,613,586.0,636.0,624.0,627,234,214,228,214,216,139,136.0,116,66,39,48,45,50,300,253.0,276,259,266,603,586.0,636.0,624.0,627,,,,,,130387000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Veterans Memorial Middle School,Muscogee County,13215.0,31909.0,Columbus,37,23,613,627.0,3,3,298,374,198,156,55,51,21,18,1,2,1303870.0
2307,VETERANS MEMORIAL MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,725,703.0,671.0,685.0,708,451,447,443,474,471,272,240.0,281,74,74,82,73,67,525,521.0,525,547,538,715,703.0,671.0,685.0,708,,,,,,130393000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Veterans Memorial Middle School,Newton County,13217.0,30016.0,Covington,20,33,725,708.0,0,2,114,147,489,454,96,62,5,8,1,2,1303930.0
2308,VICKERY CREEK ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1252,1201.0,1190.0,1239.0,1194,48,54,57,84,78,32,39.0,33,23,13,9,13,8,71,67.0,66,97,86,1044,995.0,1008.0,1018.0,1021,,,,,,130222000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Vickery Creek Elementary School,Forsyth County,13117.0,30040.0,Cumming,63,33,1252,1194.0,0,0,801,861,42,42,89,105,252,152,5,1,1302220.0
2309,VICKERY CREEK MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1241,1246.0,1229.0,1297.0,1242,49,63,56,67,63,22,34.0,30,14,14,13,16,12,63,77.0,69,83,75,1231,1246.0,1229.0,1297.0,1242,,,,,,130222000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Vickery Creek Middle School,Forsyth County,13117.0,30040.0,Cumming,35,31,1241,1242.0,0,0,897,976,36,28,104,103,162,99,7,5,1302220.0
2310,VICKERY MILL ELEMENTARY,GEORGIA,13-City: Small,13-City: Small,13-City: Small,,,497,495.0,579.0,,,338,336,418,,,118,133.0,216,45,30,38,,,383,366.0,456,,,349,360.0,432.0,,,,,,,,130228000000.0,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,,,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,,,5th Grade,Prekindergarten,Vickery Mill Elementary,Fulton County,13121.0,30075.0,Roswell,4,,497,,1,,80,,122,,282,,8,,0,,1302280.0
2311,VIDALIA ACADEMY,GEORGIA,,,,33-Town: Remote,,,,,1990.0,,,,,798,,,,,,,,203,,,,,1001,,,,,373.0,,,,,1585.0,,130534000000.0,,,,6-Not a Title I school,,,,,Yes participating without using any Provision or the CEO,,,,,,,,,,,,,,,,,,,,,,,,,1305340.0
2312,VIDALIA COMPREHENSIVE HIGH SCHOOL,Georgia,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,718,703.0,732.0,721.0,713,328,336,588,402,356,244,234.0,251,47,42,38,62,57,375,378.0,626,464,413,,,,,,718,703.0,732.0,721.0,713,130534000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Vidalia Comprehensive High School,Toombs County,13279.0,30474.0,Vidalia,12,10,718,713.0,1,0,327,356,323,318,45,23,9,5,1,1,1305340.0
2313,VILLA RICA ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,452,471.0,478.0,459.0,469,270,284,291,293,313,164,133.0,169,51,45,41,42,46,321,329.0,332,335,359,337,357.0,371.0,368.0,387,,,,,,130084000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Villa Rica Elementary School,Carroll County,13045.0,30180.0,Villa Rica,34,49,452,469.0,0,1,248,275,100,100,64,43,5,1,1,0,1300840.0
2314,VILLA RICA HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1637,1600.0,1580.0,1590.0,1586,725,692,747,768,817,379,331.0,432,170,157,148,142,121,895,849.0,895,910,938,,,,,,1637,1600.0,1580.0,1590.0,1586,130084000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Villa Rica High School,Carroll County,13045.0,30180.0,Villa Rica,104,84,1637,1586.0,1,3,923,958,431,412,166,116,8,10,4,3,1300840.0
2315,VILLA RICA MIDDLE,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,508,491.0,489.0,486.0,506,268,265,293,282,301,167,133.0,188,72,62,48,60,58,340,327.0,341,342,359,498,491.0,489.0,486.0,506,,,,,,130084000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Villa Rica Middle,Carroll County,13045.0,30179.0,Temple,39,36,508,506.0,1,1,264,295,156,129,46,43,2,2,0,0,1300840.0
2316,VINEVILLE ACADEMY,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,556,499.0,534.0,503.0,560,550,495,528,499,552,168,193.0,191,0,0,0,0,0,550,495.0,528,499,552,419,400.0,427.0,406.0,444,,,,,,130042000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Vineville Academy,Bibb County,13021.0,31204.0,Macon,12,9,556,560.0,1,3,69,91,440,431,29,22,5,4,0,0,1300420.0
2317,W.G. NUNN ELEMENTARY,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,1029,1087.0,1057.0,1131.0,1149,1029,1087,1057,1128,1149,686,804.0,804,0,0,0,0,0,1029,1087.0,1057,1128,1149,802,820.0,833.0,873.0,874,,,,,,130531000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,W.G. Nunn Elementary,Lowndes County,13185.0,31602.0,Valdosta,23,20,1029,1149.0,2,0,45,68,911,1030,43,24,1,1,4,6,1305310.0
2318,W.S. HORNSBY ELEMENTARY SCHOOL,GEORGIA,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,,,535,333.0,293.0,,,515,299,283,,,353,286.0,260,0,0,0,,,515,299.0,283,,,356,260.0,222.0,,,,,,,,130438000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,,,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),,,3rd Grade,Prekindergarten,W.S. Hornsby Elementary School,Richmond County,13245.0,30901.0,Augusta,7,,535,,1,,5,,514,,7,,0,,1,,1304380.0
2319,W.S. HORNSBY MIDDLE SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,636,332.0,311.0,657.0,742,613,320,301,636,718,423,290.0,246,0,0,0,0,0,613,320.0,301,636,718,630,332.0,311.0,597.0,669,,,,,,130438000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),8th Grade,4th Grade,W.S. Hornsby Middle School,Richmond County,13245.0,30901.0,Augusta,16,8,636,742.0,0,2,17,12,589,717,11,3,2,0,1,0,1304380.0
2320,WACONA ELEMENTARY SCHOOL,Georgia,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,977,988.0,1032.0,1024.0,1046,955,891,930,922,942,474,455.0,541,0,0,0,0,0,955,891.0,930,922,942,506,533.0,563.0,564.0,556,,,,,,130543000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Wacona Elementary School,Ware County,13299.0,31503.0,Waycross,71,59,977,1046.0,1,1,566,633,294,302,43,45,2,6,0,0,1305430.0
2321,WADDELL ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,463,462.0,462.0,525.0,522,437,436,462,386,365,266,274.0,245,0,0,0,42,60,437,436.0,462,428,425,362,391.0,379.0,426.0,437,,,,,,130387000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,Waddell Elementary School,Muscogee County,13215.0,31907.0,Columbus,32,39,463,522.0,0,2,56,112,351,316,24,46,0,5,0,2,1303870.0
