School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2018-19,Urban-centric Locale [Public School] 2017-18,Urban-centric Locale [Public School] 2016-17,Urban-centric Locale [Public School] 2015-16,Urban-centric Locale [Public School] 2014-15,"Total Students, All Grades (Excludes AE) [Public School] 2018-19","Total Students, All Grades (Excludes AE) [Public School] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2016-17","Total Students, All Grades (Excludes AE) [Public School] 2015-16","Total Students, All Grades (Excludes AE) [Public School] 2014-15",Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Direct Certification [Public School] 2018-19,Direct Certification [Public School] 2017-18,Direct Certification [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15,Grades 1-8 Students [Public School] 2018-19,Grades 1-8 Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2016-17,Grades 1-8 Students [Public School] 2015-16,Grades 1-8 Students [Public School] 2014-15,Grades 9-12 Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2016-17,Grades 9-12 Students [Public School] 2015-16,Grades 9-12 Students [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2018-19,Title I School Status [Public School] 2017-18,Title I School Status [Public School] 2016-17,Title I School Status [Public School] 2015-16,Title I School Status [Public School] 2014-15,National School Lunch Program [Public School] 2018-19,National School Lunch Program [Public School] 2017-18,National School Lunch Program [Public School] 2016-17,National School Lunch Program [Public School] 2015-16,National School Lunch Program [Public School] 2014-15,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2014-15,Agency ID - NCES Assigned [Public School] Latest available year
STOCKBRIDGE ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,546,568,581,636,611,353,411,415,467,448,188,255,273,44,41,60,55,46,397,452,475,522,494,411,430,440,495,474,NA,NA,NA,NA,NA,1.30282E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,3rd Grade,Prekindergarten,Stockbridge Elementary School,Henry County,13151,30281,Stockbridge,22,37,546,611,0,0,47,80,321,364,136,114,19,14,1,2,1302820
STOCKBRIDGE HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1485,1472,1497,1494,1442,757,827,791,804,781,387,523,478,129,130,123,132,150,886,957,914,936,931,NA,NA,NA,NA,NA,1485,1472,1497,1494,1442,1.30282E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Stockbridge High School,Henry County,13151,30281,Stockbridge,38,48,1485,1442,2,1,140,183,1088,1021,191,162,26,25,0,2,1302820
STOCKBRIDGE MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,720,701,693,689,652,436,433,437,454,421,249,297,275,88,79,67,83,88,524,512,504,537,509,710,701,693,689,652,NA,NA,NA,NA,NA,1.30282E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Stockbridge Middle School,Henry County,13151,30281,Stockbridge,46,27,720,652,0,0,119,142,413,370,132,93,8,19,2,1,1302820
STONE CREEK ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,437,480,496,492,483,314,372,330,359,341,141,238,200,55,50,54,41,42,369,422,384,400,383,350,390,398,392,380,NA,NA,NA,NA,NA,1.30537E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Stone Creek Elementary School,Walker County,13295,30741,Rossville,36,28,437,483,0,0,355,400,32,32,14,22,0,1,0,0,1305370
STONE MILL ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,606,575,615,626,571,606,575,615,575,543,342,308,324,0,0,0,26,16,606,575,615,601,559,464,422,474,477,432,NA,NA,NA,NA,NA,1.30174E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Stone Mill Elementary School,DeKalb County,13089,30083,Stone Mountain,10,13,606,571,0,0,9,14,488,451,88,86,8,7,3,0,1301740
STONE MOUNTAIN ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,517,581,559,564,574,457,465,472,507,549,279,322,307,22,16,18,15,22,479,481,490,522,571,416,458,451,471,443,NA,NA,NA,NA,NA,1.30174E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Stone Mountain Elementary School,DeKalb County,13089,30083,Stone Mountain,21,9,517,574,0,0,11,17,436,497,38,46,9,4,2,1,1301740
STONE MOUNTAIN HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1131,1038,1031,1019,1062,823,718,757,816,844,497,454,481,48,49,37,63,80,871,767,794,879,924,NA,NA,NA,NA,NA,1131,1038,1031,1019,1062,1.30174E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Stone Mountain High School,DeKalb County,13089,30083,Stone Mountain,12,8,1131,1062,3,1,33,24,882,903,95,62,103,63,3,1,1301740
STONE MOUNTAIN MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1019,860,920,953,918,859,695,748,834,820,546,452,497,60,55,45,43,59,919,750,793,877,879,1009,860,920,953,918,NA,NA,NA,NA,NA,1.30174E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Stone Mountain Middle School,DeKalb County,13089,30083,Stone Mountain,19,3,1019,918,3,1,32,13,780,765,104,81,80,54,1,1,1301740
STONEVIEW ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,824,864,820,926,846,824,864,820,835,815,474,512,423,0,0,0,23,22,824,864,820,858,837,641,672,658,749,663,NA,NA,NA,NA,NA,1.30174E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Stoneview Elementary School,DeKalb County,13089,30058,Lithonia,16,19,824,846,0,2,1,4,728,742,73,75,5,2,1,2,1301740
STONEWALL TELL ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,681,706,704,1164,1120,312,326,326,542,552,136,155,177,48,58,60,102,76,360,384,386,644,628,549,582,584,987,969,NA,NA,NA,NA,NA,1.30228E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Stonewall Tell Elementary School,Fulton County,13121,30349,College Park,22,31,681,1120,1,1,6,1,631,1064,16,19,1,4,4,0,1302280
STRINGFELLOW ELEMENTARY SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,265,302,327,369,402,252,287,312,351,382,162,196,250,0,0,0,0,0,252,287,312,351,382,202,232,250,271,288,NA,NA,NA,NA,NA,1.30138E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Stringfellow Elementary School,Colquitt County,13071,31768,Moultrie,9,15,265,402,0,2,23,26,169,287,63,71,0,1,1,0,1301380
STRIPLING ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,723,800,901,1230,1236,507,627,727,1081,1081,238,302,281,84,67,82,57,64,591,694,809,1138,1145,606,681,748,1020,1014,NA,NA,NA,NA,NA,1.30255E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Stripling Elementary School,Gwinnett County,13135,30071,Norcross,19,18,723,1236,0,0,23,55,293,297,379,799,8,64,1,3,1302550
SUDER ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,698,659,742,719,741,648,656,738,716,707,267,336,380,0,0,0,0,0,648,656,738,716,707,559,540,610,563,603,NA,NA,NA,NA,NA,1.30123E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Suder Elementary School,Clayton County,13063,30236,Jonesboro,33,34,698,741,1,0,25,53,495,506,116,117,27,30,1,1,1301230
SUE REYNOLDS ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,556,946,919,935,873,536,912,889,905,845,214,355,324,0,0,0,0,0,536,912,889,905,845,403,743,723,711,682,NA,NA,NA,NA,NA,1.30438E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,6-Not a Title I school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Sue Reynolds Elementary School,Richmond County,13245,30909,Augusta,30,32,556,873,1,10,68,138,418,588,32,72,5,15,2,18,1304380
SUGAR HILL ELEMENTARY,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,653,679,707,704,689,429,482,521,570,510,167,212,271,88,79,77,59,84,517,561,598,629,594,537,583,597,575,583,NA,NA,NA,NA,NA,1.30261E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Sugar Hill Elementary,Hall County,13139,30507,Gainesville,17,13,653,689,0,0,92,120,22,38,516,514,4,3,2,1,1302610
SUGAR HILL ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1141,1181,1147,1236,1202,374,429,422,474,455,134,194,159,101,77,90,88,96,475,506,512,562,551,960,980,974,1032,999,NA,NA,NA,NA,NA,1.30255E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Sugar Hill Elementary School,Gwinnett County,13135,30518,Sugar Hill,64,67,1141,1202,0,2,467,559,189,171,283,285,138,116,0,2,1302550
SUGARMILL ELEMENTARY,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,566,544,517,509,497,139,174,159,173,177,65,110,105,66,60,49,64,48,205,234,208,237,225,452,411,414,383,372,NA,NA,NA,NA,NA,1.30078E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Sugarmill Elementary,Camden County,13039,31558,Saint Marys,41,29,566,497,1,0,377,319,85,91,54,48,8,6,0,4,1300780
SUMMEROUR MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1716,1734,1663,1631,1561,1339,1387,1352,1361,1333,511,675,540,164,145,116,111,101,1503,1532,1468,1472,1434,1706,1734,1663,1631,1561,NA,NA,NA,NA,NA,1.30255E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Summerour Middle School,Gwinnett County,13135,30071,Norcross,24,27,1716,1561,2,1,59,43,318,368,1204,1014,104,102,5,6,1302550
SUMMERVILLE MIDDLE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,361,345,364,363,355,296,279,257,273,292,189,178,159,24,37,50,47,29,320,316,307,320,321,351,345,364,363,355,NA,NA,NA,NA,NA,1.30108E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Summerville Middle School,Chattooga County,13055,30747,Summerville,25,18,361,355,0,0,235,268,55,42,45,26,0,1,1,0,1301080
SUMMIT HILL ELEMENTARY,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,726,702,720,734,716,25,14,17,24,23,9,8,10,1,3,2,0,3,26,17,19,24,26,593,591,602,636,610,NA,NA,NA,NA,NA,1.30228E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Summit Hill Elementary,Fulton County,13121,30004,Alpharetta,29,24,726,716,1,0,572,570,44,47,39,49,41,24,0,2,1302280
SUMTER COUNTY EARLY LEARNING CENTER (OLD SARAH COBB ES),Georgia,NA,NA,NA,41-Rural: Fringe,41-Rural: Fringe,NA,NA,NA,560,738,NA,NA,NA,553,703,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,553,703,NA,NA,NA,NA,511,NA,NA,NA,NA,NA,1.30462E+11,NA,NA,NA,5-Title I schoolwide school,5-Title I schoolwide school,NA,NA,NA,Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),NA,NA,NA,NA,NA,NA,NA,NA,6,NA,738,NA,0,NA,46,NA,594,NA,87,NA,5,NA,0,1304620
SUMTER COUNTY ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,563,611,689,626,695,551,600,689,617,695,378,416,525,0,0,0,0,0,551,600,689,617,695,551,611,689,626,695,NA,NA,NA,NA,NA,1.30462E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),3rd Grade,2nd Grade,Sumter County Elementary School,Sumter County,13261,31719,Americus,9,11,563,695,0,0,43,137,430,453,78,91,1,3,2,0,1304620
SUMTER COUNTY INTERMEDIATE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,32-Town: Distant,926,906,915,586,497,917,904,915,583,494,624,557,616,0,0,0,0,0,917,904,915,583,494,916,906,915,586,497,NA,NA,NA,NA,NA,1.30462E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),6th Grade,4th Grade,Sumter County Intermediate School,Sumter County,13261,31719,Americus,12,9,926,497,0,0,69,9,728,471,114,8,3,0,0,0,1304620
SUMTER COUNTY MIDDLE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,566,561,557,605,566,558,559,557,599,561,356,319,396,0,0,0,0,0,558,559,557,599,561,554,561,557,605,566,NA,NA,NA,NA,NA,1.30462E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),8th Grade,7th Grade,Sumter County Middle School,Sumter County,13261,31719,Americus,9,8,566,566,0,0,50,108,443,377,64,69,0,3,0,1,1304620
SUMTER COUNTY PRIMARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,799,838,851,713,959,789,827,851,701,956,369,404,484,0,0,0,0,0,789,827,851,701,956,278,300,302,713,526,NA,NA,NA,NA,NA,1.30462E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),1st Grade,Prekindergarten,Sumter County Primary School,Sumter County,13261,31719,Americus,20,31,799,959,0,0,57,174,623,649,97,102,1,3,1,0,1304620
